"cardhldr","default","age","acadmos","adepcnt","majordrg","minordrg","ownrent","income","selfempl","incper","exp_inc","spending","logspend"
1,1,54.0833321,102,0,0,0,0,4166.6666667,0,54800,0.0026642,11.1009732,2.4070328
1,0,42.4166679,128,0,0,1,1,1166.6666667,0,54000,0.0079815,9.3117279,2.2312747
1,0,35.3333321,110,3,0,0,1,4000,0,12300,0.0154268,61.7073178,4.1224025
1,0,32.1666679,64,2,0,0,1,8155.5833333,0,32622.3339844,0.0670506,546.8366834,6.3041502
1,0,40.3333321,95,4,0,0,1,4333.3333333,0,12460,0.0571438,247.6232139,5.5119083
1,0,44.3333321,60,0,0,0,1,1325,0,15900,0.1919522,254.3366633,5.5386588
1,0,21.666666,122,0,0,0,1,1200,0,20400,0.1710745,205.2894115,5.3244207
1,0,31.666666,12,0,0,0,0,3205.8333333,0,38470,0.0717193,229.9200151,5.4377315
1,0,32.6666679,26,2,0,1,0,2900,0,11600,0.5039468,1461.4458382,7.2871815
1,0,57.4166679,60,0,0,0,1,2166.6666667,0,65805,0.0376952,81.672851,4.4027216
1,0,44.3333321,36,0,0,0,0,2000,0,24000,0.0179729,35.9458327,3.5820132
1,0,41.1666679,14,2,0,0,0,2666.6666667,0,11166.6669922,0.0105534,28.142487,3.3372804
1,0,30.833334,102,2,0,1,1,1550,0,6200,0.0600538,93.0833312,4.5334951
1,0,55.6666679,60,2,0,0,1,3600,0,14400,0.0326178,117.4241602,4.7657927
1,0,34.9166679,18,4,0,1,1,5908.3333333,0,14180,0.0068519,40.4833334,3.7008904
1,0,47.8333321,73,1,0,0,1,4550,0,35300,0.026061,118.5777633,4.775569
1,0,30.333334,18,1,2,0,0,2116.6666667,0,32860,0.0242036,51.2309344,3.9363435
1,0,37.25,12,2,0,0,1,2291.6666667,0,11333.3330078,0.0261003,59.8131753,4.091226
1,0,36.8333321,132,1,0,0,1,5416.6666667,1,35500,0.0084331,45.6792857,3.8216449
1,0,24.416666,30,2,0,1,0,1500,0,6000,0.0278128,41.7191684,3.7309607
1,1,29.333334,31,1,0,0,0,2093.3333333,0,12560,0.0483758,101.2666674,4.6177573
1,0,26.583334,6,2,0,0,0,1081.6666667,0,6406.6665039,0.0154735,16.7371308,2.8176297
1,0,20.166666,109,1,0,0,1,1600,0,9600,0.100725,161.1600041,5.0823977
1,0,23.25,54,0,0,0,0,2000,0,25000,0.0444384,88.8767987,4.4872511
0,0,40.5833321,18,2,0,0,0,1300,0,7400,0.0005405,NA,NA
1,0,28.833334,61,0,0,0,1,1666.6666667,0,20000,0.0033,5.5,1.7047481
1,0,35.3333321,42,4,0,1,1,3333.3333333,0,8000,0.042973,143.2433352,4.9645448
1,0,27.916666,7,2,0,0,0,2400,0,13200,0.0125758,30.1818185,3.4072397
1,0,41.5833321,48,3,1,0,1,3338.3333333,0,13206.25,0.0414084,138.2351199,4.928956
0,0,68,96,1,9,3,1,2025,0,13650,0.0004396,NA,NA
1,0,28.25,17,0,0,0,0,3166.6666667,0,39000,0.0388344,122.9754717,4.8119849
1,0,27.333334,72,0,0,0,0,3000,1,44400,0.0453878,136.1635141,4.9138565
1,0,56.9166679,102,0,0,0,1,1250,0,90000,0.0219262,27.407778,3.3108268
1,0,34.8333321,40,0,1,0,0,2500,0,30000,0.0237303,59.3258301,4.0830448
0,0,22.333334,15,1,1,0,0,2400,0,16400,0.0003659,NA,NA
1,0,30.5,3,0,0,0,1,6750,0,91000,0.0767034,517.7479964,6.2494886
1,0,24.5,6,0,0,0,0,2083.3333333,0,26500,0.0764762,159.3254662,5.0709491
1,0,25.916666,36,0,0,0,1,2000,0,42000,0.0929871,185.974285,5.2256084
1,0,32.25,17,0,0,0,1,2083.3333333,0,49000,0.0529747,110.3639447,4.7037835
1,0,32.9166679,12,3,0,0,1,2387.5,0,7162.5,0.0993843,237.2800172,5.469241
1,0,38.6666679,129,0,0,0,1,1348.5,0,16182,0.1465962,197.6850069,5.2866749
1,0,46.3333321,6,0,0,0,1,3083.3333333,0,37000,0.0369286,113.8633375,4.7349989
1,0,38.4166679,60,1,0,1,1,4583.3333333,0,27500,0.027826,127.5358334,4.8483974
1,0,41.6666679,120,3,0,0,1,3291.6666667,0,9875,0.0235582,77.5458378,4.3508692
1,0,24.583334,96,0,0,0,0,1666.6666667,1,25000,0.0058,9.6666665,2.2686835
1,0,26.833334,4,1,0,0,1,3500,0,21000,0.1487871,520.754993,6.2552797
1,0,30.75,36,2,0,0,1,3166.6666667,0,12666.6669922,0.0252295,79.893336,4.3806924
1,0,36.75,14,1,0,0,0,1833.3333333,0,12500,0.0753976,138.2289256,4.9289112
1,1,27,8,0,0,0,0,1533.3333333,0,18400,0.0558087,85.5733352,4.4493737
1,0,27.666666,16,1,0,0,0,1650,0,23900,0.0953847,157.3848076,5.0586938
0,0,30.25,48,0,9,0,1,1575,0,21400,0.0005607,NA,NA
0,0,33.75,18,0,0,0,1,1833.3333333,1,31000,0.0003871,NA,NA
1,1,28.416666,19,2,0,0,1,1950,0,7800,0.0234594,45.7458319,3.8231007
1,0,29.166666,77,0,0,0,1,1375,0,23700,0.0764338,105.0964138,4.6548782
1,0,37,97,0,0,0,1,3000,0,38000,0.2456279,736.883685,6.6024301
1,1,34.4166679,84,0,1,4,1,4383.3333333,0,52600,0.0312357,136.9166667,4.9193725
1,0,28.416666,65,0,0,0,0,2666.6666667,0,32000,0.01978,52.7466685,3.9655006
1,0,30.5,24,1,0,1,1,3291.6666667,0,19750,0.0780246,256.8308391,5.5484177
0,0,46.8333321,32,0,1,0,0,2083.3333333,0,35000,0.0003429,NA,NA
1,0,40.25,60,4,0,0,1,8333.25,0,25199.8007813,0.0548893,457.406468,6.1255724
0,0,23.083334,32,0,1,2,1,1458.3333333,0,17500,0.0006857,NA,NA
0,0,27.833334,64,1,3,2,1,2833.3333333,0,17000,0.0003529,NA,NA
1,0,27.25,43,1,0,0,1,916.6666667,0,9100,0.4330874,396.9967638,5.9839281
1,0,25.916666,54,0,1,1,1,1918,0,23016,0.169264,324.6483304,5.7827425
1,0,47.75,108,2,0,0,1,3666.6666667,0,14666.6669922,0.1006695,369.1216757,5.9111263
1,0,41.25,60,2,0,0,1,3000,0,12000,0.0200289,60.0866675,4.095788
1,0,31.25,17,0,0,0,0,2275,0,28300,0.0849247,193.2037724,5.2637454
1,0,26,22,0,0,0,0,1404.25,0,16851,0.0738158,103.6558375,4.6410762
1,0,22.333334,2,0,0,0,0,2383.3333333,0,28600,0.0309584,73.7841625,4.3011441
1,0,25.833334,13,0,0,0,0,1200,0,32400,0.319034,382.8407407,5.9476191
0,0,36.3333321,19,2,1,1,1,1333.3333333,0,7416.6665039,0.0005393,NA,NA
0,0,45.3333321,157,2,0,0,1,650,1,7170,0.0005579,NA,NA
1,0,28.083334,26,0,0,0,0,2375,0,28500,0.0814186,193.369166,5.2646011
1,0,40.6666679,124,2,0,0,1,2500,1,15000,0.0100753,25.1883315,3.2263809
1,0,28.166666,59,1,0,0,1,1858.3333333,0,14150,0.0292813,54.4143631,3.9966281
1,0,45.1666679,42,1,0,0,1,4000,0,26500,0.0561251,224.500373,5.4138774
1,0,23.083334,12,0,0,0,0,2000,0,24000,0.0260075,52.0149991,3.9515321
0,0,22.083334,52,0,3,0,0,1370,0,16440,0.0007299,NA,NA
1,0,35.3333321,72,2,0,0,1,2916.6666667,0,11666.6669922,0.0796386,232.2791641,5.4479399
1,0,25,10,0,0,0,0,2250,0,27000,0.1127041,253.5841707,5.5356958
1,0,23,5,0,0,0,0,2583.3333333,0,31000,0.067951,175.5399903,5.1678669
1,0,31.25,54,2,0,0,1,4000,0,16000,0.058096,232.3841751,5.4483919
1,0,64.5833359,360,2,0,0,1,8333.25,1,33333,0.0795518,662.9249843,6.4966618
1,0,38.5833321,24,1,0,0,1,5000,0,30000,0.0202707,101.3533305,4.6186127
1,0,25.5,18,1,0,0,0,1166.6666667,0,17000,0.0356559,41.5985292,3.7280648
0,0,42.4166679,2,3,0,0,0,2916.6666667,0,8750,0.0003429,NA,NA
1,0,43.25,118,4,0,1,1,3333.3333333,0,9000,0.0002667,0.8888889,-0.117783
1,1,34.0833321,82,3,0,0,1,1416.6666667,0,5750,0.0056957,8.0688406,2.0880098
0,0,42,36,2,0,0,1,1250,0,6600,0.0006061,NA,NA
1,0,40.5833321,36,0,0,0,1,3000,0,42000,0.042216,126.6478524,4.8414104
1,0,29.583334,60,3,0,0,1,2860,0,15330,0.0466937,133.5440923,4.8944317
1,0,23.333334,279,3,0,0,1,1600,0,4800,0.1600073,256.0116768,5.5452231
0,0,26.416666,55,1,13,0,1,1400,0,8400,0.0007143,NA,NA
0,0,27.583334,36,0,0,0,1,1333.3333333,0,16000,0.00075,NA,NA
0,0,31.333334,5,3,0,0,1,1000,0,9250,0.0003243,NA,NA
0,0,30,42,1,0,0,1,1208.3333333,0,8650,0.0006936,NA,NA
1,0,28.833334,26,0,0,0,1,2000,0,24500,0.0387955,77.5910243,4.3514518
0,0,22.083334,3,0,0,0,0,2083.3333333,0,25000,0.00048,NA,NA
1,0,35.3333321,120,2,0,0,1,1590,0,6360,0.0269067,42.7816661,3.7561096
1,0,25.166666,14,0,0,0,0,583.3333333,0,15500,0.060669,35.3902681,3.5664369
1,0,26.333334,24,0,0,0,1,866.6666667,0,18720,0.1779535,154.2263895,5.0384216
1,0,39.0833321,24,0,0,0,1,2666.6666667,0,32000,0.0238228,63.5274996,4.1514729
1,0,24.5,12,0,0,0,1,1750,0,21000,0.2057905,360.1333313,5.8864743
1,0,46.9166679,20,3,0,0,1,3750,0,13812.5,0.1270757,476.5337147,6.1665385
0,0,34.25,144,0,1,0,1,1833.3333333,0,32000,0.000375,NA,NA
1,0,41.25,17,2,0,0,1,4271.1666667,0,20664.6660156,0.0421233,179.9155037,5.1924873
1,1,32.75,18,2,0,0,0,2500,0,11041.6669922,0.0519254,129.8135892,4.8660995
0,0,39.9166679,2,2,0,0,0,2416.6666667,0,12266.6669922,0.0003261,NA,NA
0,0,27.333334,13,4,0,0,0,1000,0,2400,0.001,NA,NA
1,0,45.8333321,18,3,0,0,1,5181.4166667,0,15544.25,0.0375029,194.3183429,5.2694978
0,0,39.5833321,186,3,8,8,1,3776.75,0,12080.25,0.0002483,NA,NA
0,0,21.75,4,0,0,0,0,5000,1,60000,2e-04,NA,NA
1,0,30,42,0,0,0,0,2083.3333333,0,26000,0.1065946,222.0721139,5.4030022
1,0,29.166666,6,0,0,0,0,1800,0,33900,0.0202853,36.5134511,3.5976807
1,0,45.8333321,12,2,0,0,1,4583.3333333,0,18333.3339844,0.0445798,204.3241697,5.3197078
1,0,41.1666679,168,1,0,0,1,2666.6666667,0,16000,0.1258194,335.5183601,5.8156767
1,0,43.0833321,162,3,0,0,1,3000,0,9000,0.0751664,225.499168,5.4183165
0,0,28.25,84,4,12,0,1,2208.3333333,1,5300,0.0004528,NA,NA
1,0,43.1666679,94,0,0,0,1,2916.6666667,0,35000,0.0018857,5.4999999,1.7047481
1,0,24.75,12,0,0,0,1,2500,0,33600,0.0155937,38.9843737,3.6631609
1,0,45.9166679,16,2,0,0,0,2083.3333333,1,8333.3330078,0.00132,2.7500001,1.0116009
1,0,37.1666679,24,2,0,0,1,2500,1,10000,0.100061,250.1524985,5.5220707
0,0,45.6666679,60,1,2,0,1,3166.6666667,0,19000,0.0003158,NA,NA
1,0,40.0833321,96,2,0,0,1,3333.3333333,0,13333.3330078,0.0748158,249.3858337,5.5190012
1,0,0,216,1,0,0,1,2250,0,15972,0.0053844,12.1149514,2.4944403
1,0,35.0833321,7,3,0,0,1,2549.0833333,0,7647.25,0.0248861,63.4366658,4.150042
0,0,29.5,60,2,7,0,1,2500,0,10000,4e-04,NA,NA
0,0,31.916666,84,0,2,1,1,2099.9166667,0,25199,0.0004762,NA,NA
1,0,29,60,1,0,0,0,2083.3333333,0,14300,0.0676133,140.8610183,4.9477737
0,0,25.75,2,1,0,0,0,2375,0,14250,0.0004211,NA,NA
1,0,46,4,3,0,0,0,4766.6666667,0,15752,0.0643571,306.7686749,5.726094
1,0,39.5,28,0,0,0,1,8333.25,1,99999,0.0657949,548.2849784,6.3067952
1,0,24.083334,12,0,0,0,0,1833.3333333,0,49000,0.1381851,253.3393477,5.5347299
1,0,37.1666679,3,4,0,0,0,2583.3333333,0,8600,0.0422437,109.1296077,4.6925362
1,0,50.5,66,1,0,0,1,1906.6666667,0,18940,0.0032458,6.188613,1.822711
1,0,37.1666679,33,2,0,0,1,2916.6666667,0,11666.6669922,0.0461697,134.6616633,4.9027654
1,0,31.666666,24,1,0,0,1,1666.6666667,0,10000,0.0487515,81.2524992,4.3975616
0,0,20.833334,12,0,0,0,1,1083.3333333,0,22600,0.000531,NA,NA
1,0,45.8333321,25,4,0,1,1,5833.3333333,0,20000,0.00679,39.6083334,3.6790395
0,0,37.4166679,42,1,5,2,1,2763.3333333,0,16580,0.0003619,NA,NA
1,1,21,6,1,0,0,1,1583.3333333,0,9500,0.04506,71.3450021,4.2675273
1,0,24.166666,5,1,0,0,0,2250,0,13500,0.0594037,133.6583393,4.8952868
0,0,45.75,28,0,3,0,0,2833.3333333,0,34000,0.0003529,NA,NA
0,0,53.25,255,0,4,2,1,1536,0,18432,0.000651,NA,NA
0,0,30.416666,2,3,0,0,0,1500,0,4500,0.0006667,NA,NA
1,1,35.25,115,2,0,0,1,1333.3333333,0,7833.3334961,0.022386,29.8479448,3.396116
1,0,40.5,18,2,0,0,1,2725,0,10900,0.0497128,135.4674903,4.9087317
1,0,33.8333321,36,1,0,1,1,1666.6666667,0,10000,0.4820855,803.475827,6.6889471
0,0,48.1666679,72,0,2,3,0,1500,0,22800,0.0005263,NA,NA
0,0,25.166666,7,2,1,0,0,1375,0,6250,0.00064,NA,NA
1,0,25.833334,3,1,0,0,0,1833.3333333,0,11000,0.011,20.1666666,3.0040311
0,0,33,63,1,1,1,1,1666.6666667,0,10156,0.0005908,NA,NA
1,0,53.9166679,134,2,0,0,1,3081.1666667,0,19908,0.0940682,289.8398463,5.6693285
0,0,29.25,33,4,0,0,0,1500,0,3840,0.000625,NA,NA
1,0,54.9166679,66,2,0,0,1,4166.6666667,0,20000,0.0018833,7.8472222,2.0601596
1,0,32.8333321,11,0,0,0,1,2966.6666667,0,35600,0.0405882,120.4116713,4.7909165
0,0,22.75,4,0,0,0,0,1375,0,16500,0.0007273,NA,NA
1,0,28.916666,3,1,0,0,0,2000,0,12000,0.0274692,54.938335,4.0062114
1,0,48.6666679,20,3,0,0,1,3750,0,11250,0.1935104,725.6641611,6.5870873
1,0,34.25,12,0,0,0,1,1666.6666667,0,20000,0.131112,218.5199906,5.3868775
1,0,46.25,180,3,0,0,1,2666.6666667,0,12375,0.0566475,151.0599355,5.0176767
0,0,42.3333321,120,3,4,1,1,3333.3333333,0,10000,3e-04,NA,NA
1,0,35.75,18,2,1,0,0,3333.3333333,0,13333.3330078,0.0511923,170.6408337,5.139561
0,0,27.75,6,0,0,0,1,1250,0,15000,8e-04,NA,NA
1,0,24.416666,24,0,0,0,0,1400,0,19800,0.1314172,183.9840382,5.214849
1,0,44.3333321,34,3,0,0,1,3083.3333333,0,19500,0.0372758,114.933632,4.7443548
1,0,28.333334,20,0,0,0,0,2916.6666667,0,35000,0.0892071,260.1874992,5.5614025
0,0,21.416666,7,0,1,0,0,1333.3333333,0,16000,0.00075,NA,NA
1,0,27.166666,28,2,0,0,0,2658.3333333,0,10633.3330078,0.0799326,212.4874957,5.3588831
1,0,44.4166679,49,3,0,0,1,8333.25,0,31249.75,0.0874047,728.3652007,6.5908026
0,0,60.3333321,180,1,0,0,1,2415,0,24240,0.0002475,NA,NA
1,0,52.25,59,1,0,0,1,3633.3333333,0,21800,0.0736626,267.6408393,5.5896459
0,0,44.8333321,48,3,8,6,1,4666.6666667,0,14000,0.0002143,NA,NA
1,0,61.9166679,37,1,0,0,1,3750,0,22500,0.0027778,10.4166669,2.3434071
1,0,42.6666679,13,2,0,0,1,4283.3333333,0,17133.3339844,0.0089494,38.3333348,3.6463199
1,0,36.8333321,78,2,0,0,1,4583.3333333,0,20333.3339844,0.0711549,326.1266928,5.7872859
1,0,34.8333321,54,0,0,0,0,3166.6666667,0,38000,0.0201997,63.9658325,4.1583491
1,0,31.583334,15,1,0,0,0,2016.6666667,0,14600,0.0725808,146.371324,4.9861467
1,0,47.25,52,2,0,0,1,4166.6666667,0,16666.6660156,0.0022,9.1666666,2.2155737
1,0,30.25,38,2,0,1,0,1500,0,15020,0.1337421,200.6131858,5.3013786
1,0,27.416666,6,0,0,0,0,2500,0,30000,0.0120167,30.0416676,3.4025853
0,0,52.9166679,255,0,0,1,1,2452.6666667,0,30632,0.0003917,NA,NA
0,0,34.3333321,68,1,2,3,1,2413.9166667,0,27758.5,0.0002162,NA,NA
1,0,35.1666679,86,3,0,0,1,1000,0,10500,0.00429,4.2899996,1.4562866
1,0,40.9166679,132,3,0,0,1,6000,0,20250,0.0445923,267.554082,5.5893217
1,0,52.0833321,180,0,0,0,1,2000,0,34900,0.0031519,6.3037248,1.8411407
1,0,47,120,2,0,0,1,4166.6666667,1,16666.6660156,0.0319992,133.3300024,4.8928273
1,1,26.083334,24,2,0,0,1,1537.1666667,0,6815.3334961,0.0128764,19.7931067,2.9853337
1,0,40.1666679,95,2,0,0,0,3033.3333333,0,17988.3339844,0.0050403,15.2889215,2.7271285
1,0,37,51,1,0,0,1,1833.3333333,0,11000,0.0005455,1,0
1,0,42.1666679,13,1,0,0,0,3333.3333333,0,20000,0.0781708,260.5691801,5.5628684
1,0,37.9166679,108,3,0,0,1,3083.3333333,0,9250,0.1715378,528.9083136,6.2708151
1,0,45.0833321,16,2,0,0,1,4066.6666667,0,16266.6669922,0.0105123,42.7500004,3.7553692
0,0,34.9166679,18,2,0,3,1,1250,0,5000,8e-04,NA,NA
1,0,26.166666,11,2,0,0,1,2397.0833333,0,14117,0.1071148,256.7631538,5.5481541
1,0,30.25,96,4,0,0,1,3333.3333333,0,10496,0.0147513,49.1711125,3.8953063
0,0,24.333334,7,0,0,0,1,2383.3333333,0,28600,0.0004196,NA,NA
0,0,61.0833321,168,2,0,0,1,2500,1,10000,4e-04,NA,NA
1,0,41.1666679,60,1,1,0,1,1333.3333333,0,11750,0.774177,1032.2360198,6.9394826
0,0,21.5,12,0,1,1,0,1460,0,26880,0.0004464,NA,NA
0,0,21.666666,12,1,0,0,0,3200,1,19200,0.0003125,NA,NA
1,0,36.5833321,4,3,0,0,1,4166.6666667,0,18500,0.0743728,309.8868144,5.7362071
0,0,19.833334,51,0,0,1,0,1250,0,18000,0.0006667,NA,NA
1,0,24,66,0,0,0,0,1083.3333333,0,15000,0.3269067,354.1488722,5.8697174
1,0,37.1666679,96,4,0,0,1,2500,0,6000,0.0444127,111.0316627,4.7098154
1,0,26.75,4,0,0,0,0,3000,0,36000,0.0598975,179.6924919,5.191247
1,0,40.5,16,3,0,0,1,5912,0,17736,0.515883,3049.9001122,8.0228641
1,0,38.3333321,4,0,0,0,1,2916.6666667,0,55000,0.0384807,112.2354483,4.7205989
1,0,28.25,53,0,0,0,0,1666.6666667,0,20000,0.2099155,349.8591731,5.8575307
1,1,35.4166679,27,2,0,0,1,2083.3333333,0,8333.3330078,0.0742468,154.6808363,5.0413639
1,0,40.5,1,0,0,0,1,2916.6666667,0,35000,0.1792123,522.7024605,6.2590124
1,0,55,302,1,0,0,1,3713.5,0,25281,0.0226316,84.0425245,4.4313229
1,0,39.5833321,168,3,1,1,1,2500,0,7500,0.0896717,224.1791598,5.4124456
1,0,52.1666679,216,0,0,0,1,1291.6666667,0,15500,0.0696206,89.9266684,4.4989945
1,0,37.25,105,0,0,0,0,1941.6666667,0,23300,0.1139695,221.290832,5.3994778
1,0,32.5833321,11,0,0,1,0,1316.6666667,0,15800,0.1207709,159.0149908,5.0689985
1,0,27.083334,26,0,1,0,1,2080,0,24960,0.0004808,1,0
1,0,22.25,64,0,0,0,0,1250,0,15000,0.058608,73.259999,4.2940147
1,0,46.6666679,203,3,0,0,1,2333.3333333,0,7000,0.0223225,52.0858336,3.952893
0,0,34.25,12,1,0,0,1,2083.3333333,0,12500,0.00048,NA,NA
0,0,50.25,24,4,2,4,1,7916.6666667,0,21500,0.0001116,NA,NA
1,0,28.416666,18,0,0,0,1,1583.3333333,0,19000,0.0290079,45.929167,3.8271004
1,0,37.5833321,13,4,0,0,1,6250,0,30000,0.0850949,531.8429321,6.2763482
1,0,26.416666,9,0,0,0,0,2000,0,24000,0.1064675,212.9350007,5.360987
1,0,24.333334,4,1,0,0,1,2083.3333333,0,17250,0.0623652,129.9275318,4.8669768
1,0,47.5833321,171,2,0,0,1,2916.6666667,0,11666.6669922,0.0337897,98.5533294,4.5905978
1,0,40,74,4,0,0,1,4583.3333333,0,11000,0.3344596,1532.9399829,7.3349427
1,0,25.25,11,0,0,0,0,2000,0,24000,0.0857513,171.5025008,5.1445978
1,0,38.9166679,18,0,0,1,1,1275,0,15300,0.0825908,105.3033315,4.6568451
0,0,28.25,30,0,0,0,0,1333.3333333,0,16000,0.00075,NA,NA
0,0,57.1666679,144,2,3,2,1,3000,0,22000,0.0001818,NA,NA
1,0,40.9166679,36,1,0,0,0,2600,0,15600,0.2007455,521.938321,6.2575494
1,0,21.833334,9,0,0,0,0,844.6666667,0,20272,0.0253201,21.3870819,3.0627871
0,0,39.0833321,98,2,4,1,1,2183.1666667,0,8732.6669922,0.0004581,NA,NA
1,0,34.75,152,2,0,0,0,1173.9166667,0,7815.6665039,0.0207366,24.3429871,3.1922438
1,1,44.1666679,24,1,0,0,1,1666.6666667,0,10000,0.080752,134.586667,4.9022084
1,0,33.4166679,41,2,0,0,1,5984,0,30464,0.0812903,486.4409602,6.1871155
1,0,31.5,48,0,0,3,1,1914.9166667,0,25479,0.0281016,53.8121736,3.9854997
1,0,40.6666679,56,2,0,0,1,1674.8333333,0,8914.3330078,0.0364802,61.0982542,4.1124833
0,0,48.5833321,30,0,0,1,1,517,1,35404,0.0003389,NA,NA
1,0,25.916666,4,1,0,0,1,1360,0,8160,0.0080876,10.9991659,2.3978194
0,0,34.1666679,12,3,1,1,1,1416.6666667,0,10500,0.0002857,NA,NA
0,0,23.333334,14,0,1,0,0,2500,0,30000,4e-04,NA,NA
1,0,30.5,14,0,0,0,0,2125,0,25500,0.0539831,114.7141661,4.7424435
1,0,29,37,3,0,0,1,2000,1,6000,0.0172075,34.4149992,3.5384925
1,0,39.3333321,72,4,0,0,1,3416.6666667,0,8200,0.0395707,135.2000075,4.9067552
0,0,48.5,24,2,1,1,1,2500,0,11666.6669922,0.0003429,NA,NA
1,0,49.25,73,0,0,0,1,1430,0,32160,0.0003731,0.5335821,-0.6281423
1,0,33.4166679,5,0,1,0,0,3845.8333333,0,46150,0.0061746,23.7466678,3.1674422
0,0,35.75,154,2,0,2,1,1333.3333333,0,11666.6669922,0.0003429,NA,NA
1,0,20.583334,18,0,0,0,0,1250,0,16800,0.0719935,89.9918191,4.4997188
1,0,28.083334,13,1,0,0,0,2500,0,15000,0.136515,341.2874788,5.8327252
1,0,36.9166679,15,3,0,1,0,2541.6666667,0,7625,0.2594213,659.3625185,6.4912735
1,0,28.083334,63,2,0,0,1,3550,0,14200,0.0367878,130.5966653,4.8721137
1,0,24.166666,7,0,0,0,0,1666.6666667,0,20000,0.0468535,78.0891627,4.3578513
0,0,35.4166679,42,2,1,0,1,1416.6666667,0,5666.6665039,0.0007059,NA,NA
1,0,44,110,2,0,0,1,2166.6666667,1,15000,0.0151858,32.902517,3.4935492
1,0,46.1666679,106,0,1,0,1,2500,0,30000,0.0036667,9.1666664,2.2155737
1,0,46.25,168,6,2,0,1,8333.25,1,28571.1425781,0.095441,795.3333297,6.6787613
1,1,30.916666,24,0,0,0,0,1625,0,19500,0.0006154,1,0
1,0,23.083334,25,0,0,0,1,1493.75,0,23825,0.0140844,21.0385205,3.0463551
1,0,29.416666,14,0,1,0,0,2666.6666667,0,32000,0.1567194,417.9183245,6.035286
1,0,33.5833321,36,0,0,0,0,2718,0,32616,0.0717718,195.0758348,5.2733884
1,0,28.916666,12,0,0,0,0,1250,0,15000,0.2987053,373.3816743,5.9226012
1,0,26,2,1,0,0,0,4166.6666667,0,25000,0.0664772,276.9883412,5.6239754
1,0,31.083334,24,0,0,0,0,1666.6666667,0,20000,0.186444,310.739999,5.7389565
1,0,35,28,1,0,0,1,2916.6666667,1,17500,0.0123831,36.1175016,3.5867776
1,0,49.1666679,111,1,1,0,0,3041.6666667,0,21900,0.0423048,128.6770855,4.8573061
1,0,41,84,2,0,0,1,8333.25,0,49999.6679688,0.0194637,162.1955774,5.0888029
1,0,33.4166679,84,3,1,1,1,1213.3333333,0,11140,0.0195772,23.7536688,3.167737
1,0,24.916666,20,0,0,0,0,1750,0,21000,0.0219071,38.3375008,3.6464285
1,0,25.75,6,0,0,0,0,1487.5,0,17850,0.1427473,212.3366721,5.3581731
0,0,24.916666,40,1,1,0,1,2500,0,15750,0.000381,NA,NA
1,1,33.0833321,39,3,0,0,1,4200,0,14100,0.0881789,370.351392,5.9144523
1,0,25.416666,12,0,0,0,0,1600,0,43200,0.0482521,77.2033393,4.3464427
1,0,25.916666,12,0,0,0,0,2675,0,32500,0.1556831,416.4522134,6.0317717
1,0,25.416666,1,0,0,0,0,2333.3333333,0,28000,0.0438939,102.419169,4.6290739
1,0,26.5,30,0,0,0,1,1666.6666667,0,21600,0.0523829,87.3047796,4.4694052
1,0,25.583334,12,0,0,0,0,1341.6666667,0,16100,0.1224876,164.3374962,5.1019222
