"yearid","team","avgsalry","allstars","attend","wins","ti"
1987,23,0.47976,3,1776897,80,17
1988,23,0.532231,2,2026782,64,17
1989,23,0.41716,2,1889568,66,17
1990,23,0.439122,1,1991142,76,17
1991,23,0.749578,1,1812375,77,17
1992,23,0.812794,2,1829709,69,17
1993,23,0.891823,4,2902149,97,17
1994,23,0.987469,3,2823093,76,17
1995,23,0.766624,5,2108106,77,17
1996,23,0.798012,1,1913058,67,17
1997,23,0.916413,1,1828980,68,17
1998,23,1.037071,1,1962144,75,17
1999,23,0.932132,3,2060964,76,17
2000,23,1.63131,1,2042577,64,17
2001,23,1.602455,1,1955097,86,17
1985,24,0.504028,1,1222452,57,17
1986,24,0.373914,2,1332774,63,17
1987,24,0.30608,1,1531467,80,17
1988,24,0.222167,3,2013093,86,17
1989,24,0.430417,1,1749519,73,17
1990,24,0.432111,3,2050272,94,17
1991,24,0.875358,2,2069064,98,17
1992,24,1.212292,2,1954530,96,17
1993,24,0.752196,2,2080080,75,17
1994,24,0.712272,1,2141235,75,17
1995,24,0.556223,2,1492587,65,17
1996,24,0.657643,1,1671840,73,17
1997,24,0.307762,1,1914030,79,17
1998,24,0.430429,1,1926990,68,17
1999,24,0.649939,1,1915974,78,17
2000,24,1.112628,2,2102193,69,17
2001,24,1.863253,1,2321136,62,17
1985,25,0.486591,7,2103084,82,17
1986,25,0.455228,1,1787832,74,17
1987,25,0.409844,1,1630530,64,17
1988,25,0.354111,1,1801278,83,17
1989,25,0.540192,3,2028888,88,17
1990,25,0.549635,3,2171205,75,17
1991,25,0.738333,2,1916298,84,17
1992,25,0.959077,5,1875150,81,17
1993,25,0.750333,2,1954854,61,17
1994,25,0.426181,1,1840644,65,17
1995,25,0.851043,1,1562976,78,17
1996,25,0.944939,2,2198178,91,17
1997,25,1.288402,3,2149659,75,17
1998,25,1.56205,5,2439639,98,17
1999,25,1.508127,3,2485404,74,17
2000,25,1.827367,1,2484351,75,17
2001,25,1.440105,2,2460375,79,17
1985,26,0.256278,1,1299402,74,17
1986,26,0.229166,1,1436859,67,17
1987,26,0.2515,2,1464318,77,17
1988,26,0.282402,1,1579986,68,17
1989,26,0.407479,1,1621053,73,17
1990,26,0.369226,2,1852065,76,17
1991,26,0.603532,1,2157921,82,17
1992,26,0.778119,2,1905849,63,17
1993,26,0.990798,2,2179872,81,17
1994,26,0.885712,2,2221992,70,17
1995,26,1.042323,3,1909089,88,17
1996,26,1.215544,5,2486295,85,17
1997,26,1.298146,4,2792475,90,17
1998,26,1.423343,2,2547450,76,17
1999,26,1.503472,1,2681424,79,17
2000,26,2.265962,3,2690496,91,17
2001,26,2.668601,8,3026565,115,17
1985,27,0.411086,1,1371735,62,17
1986,27,0.319536,3,1729269,82,17
1987,27,0.293478,1,2037798,90,17
1988,27,0.4952,2,1925208,82,17
1989,27,0.534387,3,2163348,92,17
1990,27,0.568686,4,2123820,85,17
1991,27,1.191064,1,1967328,75,17
1992,27,1.326527,1,1796580,71,17
1993,27,1.130645,4,2686041,103,17
1994,27,1.371925,3,2491236,77,17
1995,27,0.934943,2,1720683,75,17
1996,27,1.061278,2,1836918,68,17
1997,27,1.112262,3,2061045,90,17
1998,27,1.520208,2,2250099,88,17
1999,27,1.606726,2,2252529,86,17
2000,27,2.066839,2,2956986,97,17
2001,27,2.34371,3,3084075,90,17
1985,28,0.472683,5,2272860,100,17
1986,28,0.365741,1,2109969,79,17
1987,28,0.37929,3,2697543,94,17
1988,28,0.477037,4,2481759,75,17
1989,28,0.574244,4,2508894,84,17
1990,28,0.586381,1,2331018,69,17
1991,28,0.753793,3,2125359,84,17
1992,28,0.951167,4,2155977,82,17
1993,28,0.778911,2,2714472,86,17
1994,28,0.975853,2,2728971,74,17
1995,28,0.976342,2,2069550,70,17
1996,28,1.220293,1,2378727,87,17
1997,28,1.262685,3,2420523,73,17
1998,28,1.562072,1,2963061,82,17
1999,28,1.382728,2,3050055,75,17
2000,28,2.276069,4,3030210,94,17
2001,28,2.617944,2,2910249,92,17
1998,29,0.826667,1,2324619,63,4
1999,29,1.022895,2,1978506,69,4
2000,29,2.024682,1,1884222,69,4
2001,29,2.11037,1,2373462,62,4
1985,30,0.383825,1,1346301,62,17
1986,30,0.259351,1,1681074,86,17
1987,30,0.22,1,1780299,75,17
1988,30,0.242824,1,1744659,70,17
1989,30,0.396459,4,2070117,82,17
1990,30,0.40201,1,2019249,82,17
1991,30,0.867833,3,2299752,85,17
1992,30,0.971876,3,2271807,76,17
1993,30,0.957288,2,2322756,86,17
1994,30,0.9992,2,2908872,73,17
1995,30,1.017102,2,2046060,83,17
1996,30,1.183077,2,2462886,89,17
1997,30,1.444563,1,2529063,76,17
1998,30,1.885737,4,2620755,87,17
1999,30,2.556998,4,2427327,94,17
2000,30,2.72292,1,2603502,70,17
2001,30,2.859145,2,2676159,73,17
1985,31,0.436309,4,2168937,99,17
1986,31,0.46831,3,2073600,85,17
1987,31,0.459254,3,2368764,96,17
1988,31,0.46697,1,2283795,86,17
1989,31,0.544816,2,2081214,88,17
1990,31,0.652105,3,2958525,86,17
1991,31,0.704267,3,3201444,91,17
1992,31,1.24413,3,3164589,96,17
1993,31,1.432702,7,3303180,94,17
1994,31,1.447789,4,3298968,77,17
1995,31,1.53303,1,2585682,63,17
1996,31,0.898679,1,2269944,74,17
1997,31,1.426662,2,2341953,75,17
1998,31,1.6055,1,2311497,87,17
1999,31,1.420135,2,2175498,84,17
2000,31,1.793533,3,2013741,82,17
2001,31,2.746286,1,2068011,80,17
