"t","age","educ","marr","black","hisp","nodegree","re74","re75","re78","age2","educ2","re742","re752","blacku74"
0,27,13,1,0,0,0,0,0,2.80768,729,169,0,0,0
0,48,12,1,0,0,0,0,0,0,2304,144,0,0,0
0,41,13,1,0,0,0,0,0,0,1681,169,0,0,0
0,26,14,0,0,0,0,0,0,0,676,196,0,0,0
0,50,17,0,0,0,0,0,0,0,2500,289,0,0,0
0,48,12,1,0,0,0,0,0,1.29301,2304,144,0,0,0
0,45,16,1,0,0,0,0,0,0,2025,256,0,0,0
0,37,13,1,0,0,0,0,0,0,1369,169,0,0,0
0,33,12,1,0,0,0,0,0,0,1089,144,0,0,0
0,31,12,1,0,0,0,0,0,0,961,144,0,0,0
0,36,12,1,1,0,0,0,0,1.77327,1296,144,0,0,1
0,44,13,1,0,0,0,0,0,0,1936,169,0,0,0
0,28,17,1,0,0,0,0,0,0,784,289,0,0,0
0,30,17,1,0,0,0,0,0,0,900,289,0,0,0
0,42,16,1,0,0,0,0,0,0,1764,256,0,0,0
0,30,12,1,0,0,0,0,0,0,900,144,0,0,0
0,27,16,1,0,0,0,0,0,0,729,256,0,0,0
0,37,12,1,0,0,0,0,0,0,1369,144,0,0,0
0,37,12,1,0,0,0,0,0,0,1369,144,0,0,0
0,45,12,1,0,0,0,0,0,2.21659,2025,144,0,0,0
0,35,16,1,0,0,0,0,0,0,1225,256,0,0,0
0,37,17,1,0,0,0,0,0,6.64977,1369,289,0,0,0
0,27,17,1,0,0,0,0,0,0,729,289,0,0,0
0,47,14,1,0,0,0,0,0,0,2209,196,0,0,0
0,48,12,1,0,0,0,0,0,0,2304,144,0,0,0
0,42,12,1,0,0,0,0,0,0,1764,144,0,0,0
0,43,12,1,0,0,0,0,0,0,1849,144,0,0,0
0,46,12,1,0,0,0,0,0,0,2116,144,0,0,0
0,46,12,1,0,0,0,0,0,0,2116,144,0,0,0
0,46,12,1,0,0,0,0,0,0,2116,144,0,0,0
0,29,16,1,0,0,0,0,0,0.839644,841,256,0,0,0
0,39,13,1,0,0,0,0,0,0,1521,169,0,0,0
0,32,12,1,0,0,0,0,0,0,1024,144,0,0,0
0,48,16,1,0,0,0,0,0,0,2304,256,0,0,0
0,48,16,1,0,0,0,0,0,0,2304,256,0,0,0
0,41,13,1,0,0,0,0,0,0,1681,169,0,0,0
0,42,13,1,0,0,0,0,0,0,1764,169,0,0,0
0,42,13,1,0,0,0,0,0,0,1764,169,0,0,0
0,42,13,1,0,0,0,0,0,0,1764,169,0,0,0
0,54,13,1,0,0,0,0,0,0,2916,169,0,0,0
0,29,14,1,0,0,0,0,0,0,841,196,0,0,0
0,54,12,1,0,0,0,0,0,0,2916,144,0,0,0
0,54,12,1,0,0,0,0,0,0,2916,144,0,0,0
0,26,14,1,0,0,0,0,0,0,676,196,0,0,0
0,43,17,1,0,0,0,0,0,3.69432,1849,289,0,0,0
0,54,12,1,0,0,0,0,0,0,2916,144,0,0,0
0,37,12,1,0,0,0,0,0,0,1369,144,0,0,0
0,54,16,1,0,0,0,0,0,0,2916,256,0,0,0
0,48,17,1,0,0,0,0,0,0,2304,289,0,0,0
0,44,12,1,0,0,0,0,0,0,1936,144,0,0,0
0,54,12,1,0,0,0,0,0,0,2916,144,0,0,0
0,38,12,1,0,0,0,0,0,0,1444,144,0,0,0
0,37,13,1,0,0,0,0,0,0,1369,169,0,0,0
0,27,17,1,0,0,0,0,0,0,729,289,0,0,0
0,51,12,1,0,0,0,0,0,0,2601,144,0,0,0
0,39,12,1,0,0,0,0,0,0,1521,144,0,0,0
0,55,14,1,0,0,0,0,0,0,3025,196,0,0,0
0,54,13,1,0,0,0,0,0,0,2916,169,0,0,0
0,54,13,1,0,0,0,0,0,0,2916,169,0,0,0
0,34,12,1,0,0,0,0,0,0,1156,144,0,0,0
0,50,14,1,0,0,0,0,0,0,2500,196,0,0,0
0,50,12,1,0,0,0,0,0,0,2500,144,0,0,0
0,21,14,0,0,1,0,0,0.0071613,0.365737,441,196,0,0,0
0,26,12,1,0,0,0,0,0.0071613,0,676,144,0,0,0
0,21,13,0,0,0,0,0,0.0692855,0.265991,441,169,0,0,0
0,23,16,1,0,0,0,0,0.152177,0,529,256,0,0,0
0,21,15,0,0,0,0,0,0.322258,1.47773,441,225,0,0,0
0,23,14,0,0,0,0,0,0.340161,0.531982,529,196,0,0,0
0,27,16,1,0,0,0,0,0.483387,0,729,256,0,0,0
0,25,12,1,0,0,0,0,0.572903,2.65991,625,144,0,0,0
0,27,17,0,0,0,0,0,0.60871,0.738863,729,289,0,0,0
0,55,12,1,0,0,0,0,0.626613,1.03441,3025,144,0,0,0
0,20,12,1,0,0,0,0,0.716129,0,400,144,0,0,0
0,18,12,1,0,0,0,0,0.805645,1.92104,324,144,0,0,0
0,27,12,1,0,0,0,0,0.823548,2.06882,729,144,0,0,0
0,28,16,1,0,0,0,0,0.895161,3.69432,784,256,0,0,0
0,36,12,1,1,0,0,0,0.895161,1.18218,1296,144,0,0,1
0,33,13,1,1,0,0,0,1.07419,2.06882,1089,169,0,0,1
0,36,12,1,0,0,0,0,1.07419,0,1296,144,0,0,0
0,27,13,1,0,0,0,0,1.61129,2.95545,729,169,0,0,0
0,45,17,1,0,0,0,0,1.61129,1.77327,2025,289,0,0,0
0,45,17,1,0,0,0,0,1.61129,1.77327,2025,289,0,0,0
0,45,17,1,0,0,0,0,1.61129,1.77327,2025,289,0,0,0
0,31,12,1,0,0,0,0,1.79032,0,961,144,0,0,0
0,34,12,1,0,0,0,0,1.79032,6.35422,1156,144,0,0,0
0,34,12,1,0,0,0,0,1.79032,6.35422,1156,144,0,0,0
0,47,14,1,0,0,0,0,1.79032,2.21659,2209,196,0,0,0
0,35,16,1,0,0,0,0,1.96935,1.77327,1225,256,0,0,0
0,43,17,1,0,0,0,0,2.11616,2.95545,1849,289,0,0,0
0,25,12,1,1,0,0,0,2.14839,0.12206,625,144,0,0,1
0,29,15,0,0,0,0,0,2.14839,2.23137,841,225,0,0,0
0,31,12,1,0,0,0,0,2.14839,2.06882,961,144,0,0,0
0,52,12,1,0,0,0,0,2.14839,2.21659,2704,144,0,0,0
0,22,16,0,0,0,0,0,2.25581,3.251,484,256,0,0,0
0,53,15,1,0,0,0,0,2.41694,2.80768,2809,225,0,0,0
0,29,17,1,0,0,0,0,2.59597,3.68988,841,289,0,0,0
0,31,13,1,0,0,0,0,2.59597,3.98986,961,169,0,0,0
0,35,12,1,0,0,0,0,2.61387,2.95545,1225,144,0,0,0
0,29,16,1,0,0,0,0,2.68548,2.36436,841,256,0,0,0
0,39,12,1,0,0,0,0,2.86452,3.10323,1521,144,0,0,0
0,37,14,1,0,0,0,0,3.22258,0,1369,196,0,0,0
0,30,14,1,0,0,0,0,3.22258,2.21659,900,196,0,0,0
0,43,17,1,0,0,0,0,4.22516,4.13763,1849,289,0,0,0
0,32,17,1,0,0,0,0,4.65484,3.98986,1024,289,0,0,0
0,44,12,1,0,0,0,0,7.16129,8.1275,1936,144,0,0,0
0,32,16,1,0,0,0,0.0577984,0.691065,1.8609,1024,256,0.0033407,0.0399424,0
0,43,12,1,1,0,0,0.0715132,0.187984,0.591091,1849,144,0.0051141,0.0134433,0
0,24,12,0,1,0,0,0.0783707,0,1.03441,576,144,0.006142,0,0
0,22,13,0,0,0,0,0.0783707,0,0.230525,484,169,0.006142,0,0
0,35,15,1,0,0,0,0.0979633,0.0537097,0,1225,225,0.0095968,0.0052616,0
0,26,15,0,0,0,0,0.0979633,0.187984,0.3251,676,225,0.0095968,0.0184155,0
0,29,17,1,0,0,0,0.0979633,0.895161,0,841,289,0.0095968,0.087693,0
0,23,12,0,1,0,0,0.10776,0.322258,0.591091,529,144,0.0116121,0.0347264,0
0,19,12,1,0,0,0,0.115401,0.859355,2.65991,361,144,0.0133173,0.0991702,0
0,48,16,1,0,0,0,0.124022,0.146627,0.115263,2304,256,0.0153814,0.018185,0
0,48,16,1,0,0,0,0.124022,0.146627,0.115263,2304,256,0.0153814,0.018185,0
0,22,12,1,1,0,0,0.12696,0,0,484,144,0.016119,0,0
0,20,12,0,1,0,0,0.136757,1.25323,0.295545,400,144,0.0187024,0.171387,0
0,24,17,1,0,0,0,0.137149,0,2.48258,576,289,0.0188098,0,0
0,27,16,1,0,0,0,0.146945,0.125323,0.436373,729,256,0.0215928,0.0184155,0
0,21,14,0,0,0,0,0.150668,0.268548,1.10829,441,196,0.0227007,0.0404615,0
0,53,13,1,0,0,0,0.156741,0.393871,0.472872,2809,169,0.0245678,0.0617359,0
0,53,13,1,0,0,0,0.156741,0.393871,0.472872,2809,169,0.0245678,0.0617359,0
0,53,16,1,0,0,0,0.166538,0,0.295545,2809,256,0.0277348,0,0
0,22,15,1,0,0,0,0.176334,0.537097,2.21659,484,225,0.0310937,0.0947084,0
0,21,15,0,0,0,0,0.176334,0.966774,0.413763,441,225,0.0310937,0.170475,0
0,30,12,1,0,0,0,0.195927,0.179032,0.147773,900,144,0.0383873,0.0350772,0
0,21,12,0,1,0,0,0.195927,0.546048,0.115263,441,144,0.0383873,0.106985,0
0,27,16,1,0,0,0,0.195927,1.75452,2.1427,729,256,0.0383873,0.343757,0
0,22,15,0,0,0,0,0.19671,0.286452,0.502427,484,225,0.038695,0.056348,0
0,22,12,1,1,0,0,0.200629,0.247065,0,484,144,0.040252,0.0495683,0
0,23,13,1,0,0,0,0.215519,0.537097,1.13785,529,169,0.0464486,0.115755,0
0,33,12,1,0,0,0,0.235112,0,0.277074,1089,144,0.0552777,0,0
0,24,13,0,0,0,0,0.235112,0.312769,1.47773,576,169,0.0552777,0.0735358,0
0,20,12,0,1,0,0,0.235112,0.447581,1.77327,400,144,0.0552777,0.105232,0
0,22,16,0,0,0,0,0.235112,2.32742,2.58602,484,256,0.0552777,0.547204,0
0,19,12,1,0,0,0,0.254705,1.07419,0,361,144,0.0648745,0.273602,0
0,22,15,1,0,0,0,0.254705,1.71871,2.58602,484,225,0.0648745,0.437763,0
0,43,14,1,0,0,0,0.264501,0,0.69926,1849,196,0.0699608,0,0
0,39,12,1,0,0,0,0.274297,0.716129,1.18218,1521,144,0.075239,0.196432,0
0,28,12,0,1,0,0,0.29389,0.286452,0,784,144,0.0863713,0.0841853,0
0,19,14,0,0,0,0,0.29389,0.322258,0,361,196,0.0863713,0.0947084,0
0,26,17,1,0,0,0,0.29389,1.25323,2.36436,676,289,0.0863713,0.368311,0
0,18,12,1,0,0,0,0.313483,1.11,2.06882,324,144,0.0982714,0.347966,0
0,23,15,1,0,0,0,0.332096,0.250645,0.997465,529,225,0.110288,0.0832382,0
0,24,12,0,1,0,0,0.333075,0.465484,1.18218,576,144,0.110939,0.155041,0
0,27,12,1,0,0,0,0.352668,0,0.591091,729,144,0.124375,0,0
0,29,17,1,0,0,0,0.352668,1.52177,2.43825,841,289,0.124375,0.536681,0
0,22,12,0,1,0,0,0.357958,1.71334,1.18218,484,144,0.128134,0.613303,0
0,27,12,1,0,0,0,0.372261,0.0254226,0.109056,729,144,0.138578,0.0094638,0
0,27,15,1,0,0,0,0.372261,0.465484,1.92104,729,225,0.138578,0.173281,0
0,20,12,0,1,0,0,0.373044,0.895161,1.32995,400,144,0.139162,0.333935,0
0,27,12,1,1,0,0,0.391853,0.199442,1.77327,729,144,0.153549,0.078152,0
0,23,12,1,1,0,0,0.391853,0.286452,0.886636,529,144,0.153549,0.112247,0
0,23,12,1,1,0,0,0.391853,1.16371,0.9753,529,144,0.153549,0.456004,0
0,22,12,1,0,0,0,0.391853,1.53968,3.98986,484,144,0.153549,0.603328,0
0,31,12,1,1,0,0,0.391853,1.84403,2.49736,961,144,0.153549,0.72259,0
0,26,17,0,0,0,0,0.417324,1.16371,0.945745,676,289,0.174159,0.485644,0
0,20,12,1,0,0,0,0.431039,0,0.443318,400,144,0.185794,0,0
0,30,17,1,0,0,0,0.431039,0.429677,2.24762,900,289,0.185794,0.185208,0
0,42,16,0,0,0,0,0.439855,1.79032,1.6255,1764,256,0.193473,0.787483,0
0,21,14,1,0,0,0,0.450631,0.930968,2.30525,441,196,0.203069,0.419523,0
0,25,16,1,0,0,0,0.460428,0.295403,0,625,256,0.211994,0.136012,0
0,27,15,1,0,0,0,0.470224,0,0,729,225,0.221111,0,0
0,26,17,1,0,0,0,0.470224,1.96935,2.65991,676,289,0.221111,0.926038,0
0,29,16,1,0,0,0,0.48002,1.71871,2.36436,841,256,0.23042,0.825016,0
0,20,12,0,0,0,0,0.481196,0.0716129,0,400,144,0.23155,0.0344598,0
0,52,12,1,0,0,0,0.489817,0,0,2704,144,0.23992,0,0
0,23,17,0,0,0,0,0.489817,0.214839,3.39877,529,289,0.23992,0.105232,0
0,21,14,1,0,0,0,0.489817,0.716129,1.71416,441,196,0.23992,0.350772,0
0,24,16,0,0,0,0,0.489817,0.895161,1.77327,576,256,0.23992,0.438465,0
0,30,17,1,0,0,0,0.489817,1.20847,0.517204,900,289,0.23992,0.591928,0
0,25,17,0,0,0,0,0.499613,1.74145,0.503018,625,289,0.249613,0.87005,0
0,21,12,1,0,0,0,0.509409,0.680323,0.738863,441,144,0.259498,0.346563,0
0,28,12,1,0,0,0,0.509409,1.07419,0.901413,784,144,0.259498,0.547204,0
0,20,12,1,0,0,0,0.518226,0.626613,1.52442,400,144,0.268558,0.324727,0
0,36,16,0,0,0,0,0.529002,0.483387,0.531982,1296,256,0.279843,0.255713,0
0,19,12,0,1,0,0,0.538798,0.805645,1.21174,361,144,0.290304,0.43408,0
0,21,12,1,1,0,0,0.5868,0.304355,1.00485,441,144,0.344335,0.178596,0
0,47,12,1,0,0,0,0.5868,0.951377,0.531982,2209,144,0.344335,0.558269,0
0,24,16,1,0,0,0,0.58778,0.483387,3.39877,576,256,0.345485,0.284125,0
0,24,12,1,1,0,0,0.58778,0.895161,1.77327,576,144,0.345485,0.526158,0
0,25,17,1,0,0,0,0.58778,1.05629,3.01013,625,289,0.345485,0.620866,0
0,21,16,1,0,0,0,0.58778,1.05629,1.69939,441,256,0.345485,0.620866,0
0,31,12,1,1,0,0,0.58778,1.10642,1.59594,961,144,0.345485,0.650331,0
0,26,14,1,0,0,0,0.58778,1.34274,3.10323,676,196,0.345485,0.789237,0
0,22,12,0,1,0,0,0.589152,1.03678,0.576313,484,144,0.3471,0.610818,0
0,20,13,0,1,0,0,0.589739,1.25323,1.47773,400,169,0.347792,0.739077,0
0,20,13,1,0,1,0,0.607373,1.00258,2.73379,400,169,0.368902,0.60894,0
0,27,14,1,0,0,0,0.626965,0,2.6008,729,196,0.393086,0,0
0,26,12,0,0,0,0,0.626965,1.16371,1.03441,676,144,0.393086,0.729606,0
0,23,17,1,0,0,0,0.636762,0.537097,0,529,289,0.405465,0.342003,0
0,23,12,0,1,0,0,0.649497,1.25323,1.41862,529,144,0.421846,0.813966,0
0,22,12,0,1,0,0,0.658314,0.447581,0,484,144,0.433377,0.294648,0
0,21,12,0,1,0,0,0.666151,1.14581,1.12086,441,144,0.443757,0.76328,0
0,21,12,1,0,0,0,0.666151,1.25323,2.51214,441,144,0.443757,0.834837,0
0,28,14,1,0,0,0,0.673988,0.787742,1.37429,784,196,0.45426,0.530928,0
0,27,12,1,1,0,0,0.685547,0,0.827527,729,144,0.469975,0,0
0,25,14,0,0,0,0,0.685743,0.179032,0,625,196,0.470244,0.12277,0
0,30,12,1,0,0,0,0.685743,0.322258,0.3251,900,144,0.470244,0.220986,0
0,27,13,1,1,0,0,0.685743,0.409626,2.4514,729,169,0.470244,0.280898,0
0,22,13,0,0,0,0,0.685743,0.626613,1.73633,484,169,0.470244,0.429696,0
0,23,16,1,0,0,0,0.685743,1.41435,2.21659,529,256,0.470244,0.969884,0
0,24,12,1,1,0,0,0.685743,1.43226,2.65991,576,144,0.470244,0.982162,0
0,19,13,0,0,0,0,0.685743,1.52177,1.77327,361,169,0.470244,1.04355,0
0,21,14,1,0,0,0,0.697499,1.14079,1.71416,441,196,0.486505,0.795702,0
0,29,17,1,0,0,0,0.705336,0.716129,0.886636,841,289,0.497499,0.505112,0
0,27,16,1,0,0,0,0.705336,1.16371,2.51214,729,256,0.497499,0.820806,0
0,28,15,1,0,0,0,0.724929,1.52177,0.91619,784,225,0.525522,1.10318,0
0,26,12,1,0,0,0,0.740603,0,0.295545,676,144,0.548493,0,0
0,54,12,1,0,0,0,0.744521,0,0,2916,144,0.554312,0,0
0,28,15,0,1,0,0,0.744521,0,1.27084,784,225,0.554312,0,0
0,27,15,1,0,0,0,0.744521,1.07419,1.84716,729,225,0.554312,0.79976,0
0,26,13,0,0,0,0,0.744913,0.572903,0.960522,676,169,0.554896,0.426763,0
0,21,12,1,0,0,0,0.752358,0.793471,0,441,144,0.566043,0.596975,0
0,53,14,1,1,0,0,0.764114,0.842168,0.81275,2809,196,0.58387,0.643512,0
0,21,13,1,0,0,0,0.768816,1.27435,1.10829,441,169,0.591078,0.979742,0
0,22,13,0,0,0,0,0.77391,0.375968,1.6255,484,169,0.598937,0.290965,0
0,27,16,0,0,0,0,0.783707,0,0,729,256,0.614196,0,0
0,37,15,1,0,1,0,0.783707,0.0179032,1.18218,1369,225,0.614196,0.0140309,0
0,33,13,0,0,0,0,0.783707,0.358065,1.6255,1089,169,0.614196,0.280618,0
0,19,12,0,1,0,0,0.783707,0.375968,0.369432,361,144,0.614196,0.294648,0
0,28,12,1,0,0,0,0.783707,0.447581,1.56639,784,144,0.614196,0.350772,0
0,32,12,1,1,0,0,0.783707,0.537097,0.886636,1024,144,0.614196,0.420926,0
0,24,12,0,0,0,0,0.783707,0.537097,0.591091,576,144,0.614196,0.420926,0
0,22,12,0,0,0,0,0.783707,0.749787,1.77327,484,144,0.614196,0.587613,0
0,20,12,1,1,0,0,0.783707,0.895161,2.06882,400,144,0.614196,0.701544,0
0,23,12,1,0,0,0,0.783707,0.895161,1.20582,529,144,0.614196,0.701544,0
0,27,12,1,1,0,0,0.783707,0.895161,0.221068,729,144,0.614196,0.701544,0
0,23,12,1,1,0,0,0.783707,1.25323,2.18704,529,144,0.614196,0.982161,0
0,19,12,1,0,1,0,0.783707,1.25323,1.32995,361,144,0.614196,0.982161,0
0,27,14,0,0,0,0,0.783707,1.43226,1.6255,729,196,0.614196,1.12247,0
0,22,16,1,0,0,0,0.783707,1.61129,1.6255,484,256,0.614196,1.26278,0
0,42,12,1,0,0,0,0.783707,1.61129,1.55161,1764,144,0.614196,1.26278,0
0,20,13,0,0,0,0,0.783707,1.74915,0.221659,400,169,0.614196,1.37082,0
0,29,13,0,0,0,0,0.795854,0,0,841,169,0.633384,0,0
0,23,12,1,1,0,0,0.799381,1.34274,0.443318,529,144,0.63901,1.07336,0
0,19,12,1,0,0,0,0.805455,0.930968,1.19637,361,144,0.648757,0.749852,0
0,21,12,1,1,0,0,0.815055,1.30926,1.05835,441,144,0.664315,1.06712,0
0,26,12,1,0,0,0,0.822892,1.36065,1.19696,676,144,0.677151,1.11966,0
0,21,16,0,0,0,0,0.822892,2.2379,2.73379,441,256,0.677151,1.84155,0
0,24,12,1,1,0,0,0.827594,1.54165,0.833586,576,144,0.684912,1.27586,0
0,29,12,1,0,0,0,0.838958,0.590806,1.44817,841,144,0.703851,0.495662,0
0,26,12,1,1,0,0,0.861686,0.859355,1.03441,676,144,0.742502,0.740494,0
0,23,14,1,1,0,0,0.867563,1.03982,1.3004,529,196,0.752666,0.902109,0
0,25,12,0,0,0,0,0.868347,0.913065,1.58117,625,144,0.754027,0.792857,0
0,21,12,1,0,0,0,0.88167,0.572903,1.80962,441,144,0.777342,0.505112,0
0,25,12,0,1,0,0,0.88167,0.626613,1.03441,625,144,0.777342,0.552466,0
0,22,12,1,0,0,0,0.88167,0.993987,1.54866,484,144,0.777342,0.876369,0
0,22,12,1,0,0,0,0.88167,1.07419,1.96538,484,144,0.777342,0.947084,0
0,23,12,1,1,0,0,0.88167,1.21742,1.84716,529,144,0.777342,1.07336,0
0,18,12,0,0,0,0,0.88167,1.43226,2.21659,324,144,0.777342,1.26278,0
0,27,12,0,1,0,0,0.88167,1.43226,1.92104,729,144,0.777342,1.26278,0
0,21,12,0,1,0,0,0.88167,1.48597,0.557842,441,144,0.777342,1.31013,0
0,25,12,1,0,0,0,0.88167,1.61129,2.65991,625,144,0.777342,1.42063,0
0,21,13,1,0,0,0,0.88167,1.79032,2.82246,441,169,0.777342,1.57847,0
0,27,12,1,0,0,0,0.88167,4.47581,0,729,144,0.777342,3.94618,0
0,23,12,1,0,0,0,0.884021,0.716129,1.04165,529,144,0.781493,0.633073,0
0,21,12,1,0,0,0,0.886764,1.49957,1.77327,441,144,0.786351,1.32977,0
0,23,14,1,1,0,0,0.893426,1.25323,0.886636,529,196,0.798209,1.11966,0
0,23,16,0,1,0,0,0.901263,1.64907,1.92104,529,256,0.812275,1.48624,0
0,31,17,1,0,0,0,0.901263,2.94651,3.98173,961,289,0.812275,2.65558,0
0,27,12,1,1,0,0,0.906749,0.537097,0.664977,729,144,0.822193,0.487012,0
0,21,12,1,1,0,0,0.916937,0.716129,0.738863,441,144,0.840773,0.656645,0
0,23,12,1,1,0,0,0.916937,0.827129,1.04032,529,144,0.840773,0.758425,0
0,19,12,1,0,0,0,0.920855,0.555,1.15263,361,144,0.847975,0.511075,0
0,46,12,1,0,0,0,0.928497,0.850403,1.03766,2116,144,0.862106,0.789596,0
0,24,12,1,0,0,0,0.937117,0.286452,0.221659,576,144,0.878189,0.268439,0
0,20,13,0,0,1,0,0.940448,0,0.827527,400,169,0.884443,0,0
0,24,17,1,0,0,0,0.940448,0.537097,2.29048,576,289,0.884443,0.505112,0
0,23,12,1,0,0,0,0.940448,0.913065,1.18218,529,144,0.884443,0.85869,0
0,34,12,1,0,0,0,0.940448,0.916645,2.34752,1156,144,0.884443,0.862057,0
0,35,12,1,0,0,0,0.940448,0.931326,1.18218,1225,144,0.884443,0.875864,0
0,23,12,0,0,0,0,0.940448,1.1834,1.68461,529,144,0.884443,1.11293,0
0,21,14,0,1,0,0,0.942015,0.537097,0.990077,441,196,0.887393,0.505953,0
0,21,12,1,0,1,0,0.949657,0.877258,1.05125,441,144,0.901848,0.833094,0
0,26,12,1,0,0,0,0.956122,0,1.32995,676,144,0.91417,0,0
0,23,13,1,0,0,0,0.969837,0.859355,2.36436,529,169,0.940584,0.833434,0
0,27,12,1,0,1,0,0.969837,1.1279,1.40384,729,144,0.940584,1.09388,0
0,50,12,1,0,1,0,0.97885,0.984677,1.32995,2500,144,0.958147,0.963851,0
0,27,12,1,1,0,0,0.979633,0,1.18218,729,144,0.959682,0,0
0,25,12,1,0,0,0,0.979633,0.268548,2.51214,625,144,0.959682,0.263079,0
0,21,12,1,1,0,0,0.979633,0.429677,1.47773,441,144,0.959682,0.420926,0
0,21,13,1,0,0,0,0.979633,0.859355,2.87876,441,169,0.959682,0.841853,0
0,33,12,0,1,0,0,0.979633,0.895161,0,1089,144,0.959682,0.87693,0
0,19,12,1,0,0,0,0.979633,0.984677,2.06882,361,144,0.959682,0.964623,0
0,20,12,1,0,0,0,0.979633,1.02048,2.9259,400,144,0.959682,0.9997,0
0,22,12,1,1,0,0,0.979633,1.07419,1.11627,484,144,0.959682,1.05232,0
0,32,12,1,0,0,0,0.979633,1.14581,1.18218,1024,144,0.959682,1.12247,0
0,24,13,1,0,0,0,0.979633,1.14581,1.15263,576,169,0.959682,1.12247,0
0,29,12,1,1,0,0,0.979633,1.25323,1.92104,841,144,0.959682,1.2277,0
0,23,12,1,1,0,0,0.979633,1.25323,1.18218,529,144,0.959682,1.2277,0
0,26,14,1,0,0,0,0.979633,1.34274,2.06882,676,196,0.959682,1.31539,0
0,20,12,1,0,0,0,0.979633,1.34274,1.07135,400,144,0.959682,1.31539,0
0,27,12,1,1,0,0,0.979633,1.43226,1.18218,729,144,0.959682,1.40309,0
0,24,12,1,1,0,0,0.979633,1.43226,3.39877,576,144,0.959682,1.40309,0
0,24,17,0,0,0,0,0.979633,1.61129,3.69432,576,289,0.959682,1.57847,0
0,21,13,0,0,0,0,0.979633,1.61129,2.06882,441,169,0.959682,1.57847,0
0,25,12,1,1,0,0,0.979633,2.14839,0.664977,625,144,0.959682,2.10463,0
0,30,12,1,1,0,0,0.979633,2.50645,2.95545,900,144,0.959682,2.4554,0
0,26,12,0,1,0,0,0.991389,1.07419,1.56196,676,144,0.982852,1.06494,0
0,22,12,0,0,0,0,0.995112,1.43226,1.47773,484,144,0.990247,1.42526,0
0,47,12,1,0,0,0,0.996875,1.05235,1.12839,2209,144,0.99376,1.04906,0
0,22,12,0,0,0,0,0.999226,1.57548,1.99493,484,144,0.998453,1.57426,0
0,31,12,1,1,0,0,1.01882,0.895161,0.960522,961,144,1.03799,0.912007,0
0,35,12,1,0,0,0,1.01882,0.930968,1.18218,1225,144,1.03799,0.948487,0
0,49,12,1,0,0,0,1.02313,1.10821,0.653746,2401,144,1.04679,1.13384,0
0,25,13,0,1,0,0,1.0247,1.53968,1.24868,625,169,1.05,1.5777,0
0,23,12,1,0,0,0,1.02901,1.05629,0.922101,529,144,1.05886,1.08693,0
0,25,17,1,0,0,0,1.03841,2.20049,4.943,625,289,1.0783,2.28501,0
0,23,16,1,0,0,0,1.03841,2.68548,1.18218,529,256,1.0783,2.78864,0
0,34,17,0,0,0,0,1.058,0.716129,0.591091,1156,289,1.11937,0.757667,0
0,21,12,1,0,0,0,1.058,0.805645,1.21174,441,144,1.11937,0.852376,0
0,27,12,0,1,0,0,1.06231,0.322258,0.886636,729,144,1.12851,0.342339,0
0,23,12,1,0,0,0,1.0776,0.537097,1.18218,529,144,1.16121,0.578774,0
