"price","height","width","signed","picture","house"
2.2475,21.3,31.9,1,63,1
1.8725,21.3,31.9,1,63,1
0.825,21.3,28.7,1,64,1
0.7975,24,19.7,1,65,2
0.664657,50.6,14.6,1,66,2
2.61835,46.9,14.4,1,66,3
0.594,47.5,14.9,1,66,2
0.27658,50.6,14.6,1,66,2
15.4025,23.7,32.2,1,67,2
25.4177,23.6,32.3,1,67,2
0.323508,23.7,29.4,0,68,3
0.165,23.6,28.7,0,68,1
0.721,28.7,36.2,1,69,1
1.045,18.9,29.9,1,70,1
1.155,23.6,31.9,1,71,2
0.46,23.5,32,1,72,2
2.86575,25.5,32,1,73,2
0.770577,28.7,36.4,1,74,2
1.78923,23.2,31.5,1,75,3
0.7725,23.6,31.9,1,76,2
0.11,23.6,28.7,0,77,1
1.5425,24,29.1,1,78,1
2.2,24.1,29.4,1,78,1
0.77,25.8,36.2,1,79,1
3.3,25.6,36.2,1,80,2
2.4225,25.6,31.9,1,81,2
0.13148,25.6,31.9,1,82,2
0.058901,11.2,19.7,0,83,3
1.045,23.6,29,1,84,1
0.209,23.8,31.9,1,85,2
0.050545,11,11,0,86,1
0.052172,18.3,29,0,87,1
0.032658,11.7,27.5,0,88,3
1.76,35,27,1,89,2
0.598537,21.3,25.6,0,90,2
1.43,25.6,39.4,1,91,1
0.6845,23.6,29.1,1,92,2
0.7,21.7,31.9,1,93,1
1.656,24,31.1,1,94,1
0.5305,23.5,29,1,95,1
3.11468,25.2,39,1,96,2
0.3435,15.5,18.9,1,97,2
1.68299,28.7,39.4,1,98,1
2.128,23.6,29.5,1,99,2
4.73,23.6,29.5,1,100,1
3.0895,32.6,24.5,1,101,2
11,21.3,29.1,1,102,2
1.0475,21.9,28.7,1,103,2
0.491071,23.6,39.4,1,104,2
0.57592,15.9,21.3,1,105,2
2.335805,25.6,36.2,1,106,1
0.7175,25.5,36.3,1,107,2
1.815,25.9,32.9,1,108,2
0.722272,23.9,32,1,109,1
0.4975,23.7,32,1,109,1
0.284482,23.6,31.9,0,110,2
1.45918,23.6,39.4,1,111,2
0.486048,31.9,23.6,1,112,1
2.262523,47.2,39.4,0,113,2
1.656,47.5,39.5,0,113,1
0.8525,78.7,39.8,0,114,2
1.0805,39.8,39.8,1,115,1
0.6075,39.8,39.8,0,115,2
3.5,78.7,39.5,0,116,1
6.6,23.8,28.9,1,117,2
0.6325,21.7,29.1,1,118,2
5.01809,24,31.5,1,119,2
0.6325,21.5,28.9,1,120,2
0.472854,23.6,28.9,1,121,1
1.22486,41.7,28.5,1,122,2
12.1893,41.7,28.7,1,122,1
0.340586,20.5,26.8,1,123,3
0.6075,25.8,31.9,1,124,1
1.051,26.1,32.2,1,125,1
1.2125,26.3,32.1,1,125,1
2.2025,24,39.3,1,126,2
1.164558,23.2,31.5,1,127,2
0.328067,24,29.1,1,128,2
0.908,25.6,39.4,1,129,1
2.42575,25.5,31.9,1,130,2
1.4875,25.6,31.9,1,130,1
9.6825,57.9,89,1,131,1
1.27605,19.7,24,1,132,2
0.2885,21,28.7,0,133,2
0.359547,28.7,35.8,1,134,2
0.405968,24.5,32,1,135,1
0.8695,27.9,36.5,0,136,1
0.805007,36.3,28.9,0,137,1
4.7115,28.7,36.2,1,138,1
1.5425,25.6,36.2,1,139,1
0.253,25.6,31.7,0,140,1
0.58,28.7,36.2,0,141,1
6.6025,25.6,36.3,1,142,3
0.32386,23.2,31.5,1,143,2
16.566547,18.7,29.1,1,144,2
10.78,18.7,29.1,1,144,1
1.18625,28.7,36.2,1,145,2
0.984948,28.7,23.6,1,146,2
3.85,29,36.5,1,147,1
0.790229,29,36.5,1,147,2
2.326129,29,36.5,1,147,2
0.286,25.6,36.2,0,148,2
5.137545,20.9,28.7,1,149,1
4.63008,20.9,28.7,1,149,2
0.78766,25.6,31.5,1,150,1
0.6075,23.6,37.9,1,151,2
0.444273,23.6,31.9,0,152,3
0.25394,23.6,31.9,1,152,2
3.368,26.8,35.4,1,153,2
0.385,25.6,31.9,1,154,2
2.9195,23.6,28.7,1,155,1
0.373393,11.6,23.3,0,156,1
7.6,23.5,31.4,1,157,1
2.64,21.7,26,1,158,2
0.55,23.6,39.4,1,159,1
0.304858,15.7,28.7,1,160,2
0.8,19.8,25.5,1,161,2
0.399166,17.7,23.6,0,162,3
0.535074,22,29.3,1,163,2
0.848,22.1,28.9,1,163,2
0.7725,19.8,32.6,0,164,2
0.44,23.8,39.6,1,165,1
1.2125,26,39.6,1,166,2
0.352,18.9,24.8,1,167,1
1.6525,25.5,32,1,168,2
0.3875,19.5,32,1,168,1
2.3595,25.7,31.9,1,169,1
0.121,21.3,32.1,0,170,1
0.638686,21.3,32.1,0,170,1
2.2025,25.6,36.2,1,171,1
0.5745,19.5,32,1,172,1
1.9857,28.7,39.4,1,173,2
0.33,23.6,31.9,1,174,2
1.4325,25.5,36.4,1,175,2
0.2718,26,15,1,176,2
0.3325,26,15,1,176,1
1.4635,28.9,36.3,1,177,1
0.839397,28.7,21.7,1,178,2
0.33,35,39.4,0,179,2
0.726,20,26,1,180,1
7.728935,39.4,78.7,0,181,2
16.808,39.4,78.7,0,181,2
6.826,39.8,79,0,181,1
9.9025,38.4,78.1,0,181,2
12.1,39.4,78.7,1,182,1
3.85,38.6,51.4,0,183,1
8.99796,39.4,78.7,0,184,2
0.866451,21.3,29.1,1,185,2
0.5451,22.2,29.1,1,186,1
0.5525,20,24.1,1,187,2
1.330368,25.6,31.9,1,188,1
2.8276,17.5,28.3,1,189,1
0.69,15.7,31,1,190,2
0.2995,23.6,31.6,0,191,1
0.205075,21.7,25.6,1,192,3
0.245183,25,35.8,1,193,2
12.1025,32,36.4,1,194,2
9.9,32,36.4,1,194,2
11.55,28.7,36.2,1,195,2
0.6735,23.5,31.5,1,196,1
0.8475,23.8,28.7,1,197,1
13.2025,39.6,32.3,1,198,1
2.7525,23.6,28.7,1,199,1
5.83,35,36.2,1,200,2
0.682,25.6,39.4,1,201,2
1.2675,25.6,39.4,1,202,1
1.0145,28.3,36,1,203,1
4.2375,28.7,36.2,1,204,1
4.1825,25,35.4,1,205,1
2,32,26,1,206,2
2.52874,31.9,26,1,207,2
3.08,25.6,36.2,1,208,1
14.3,32.3,36.5,1,209,1
14.58075,32.1,36.6,1,210,2
9.9,31.9,36.2,1,210,1
0.66,20.3,25.8,1,211,1
0.885007,23.6,31.9,1,212,1
12.4453,22.9,38.3,1,213,1
1.974181,28.9,41.9,1,214,1
4.311578,31.5,36.2,0,215,1
6.875,35,45.5,1,216,2
11.0401,35.2,36.4,1,217,1
0.619539,19.7,25.6,1,218,2
4.95419,21.3,28.7,1,219,2
2.09,23.6,32,1,220,1
24.20575,39.4,25.7,1,221,2
1.912,23.9,32.1,1,222,2
0.825,29.1,36.5,1,223,2
0.886,14,28.7,1,224,1
0.55316,14,28.7,1,224,2
0.4205,31.5,25.3,0,225,1
1.33126,31.5,25.2,1,226,2
2.14158,31.5,25.2,1,226,3
1.33346,26.4,32.3,1,227,2
1.11466,21.7,29.1,1,228,2
0.708895,25.7,32,1,229,1
3.025,24,39.5,1,230,2
2.8527,15,20.7,1,231,2
0.561,21.3,31.1,1,232,2
1.188879,19.7,31.9,1,233,1
0.960211,28.7,36.2,1,234,3
2.09,25.6,39.6,1,235,1
7.1525,25.6,36.3,1,236,2
6.71,25.6,36.2,1,237,2
7.046,45.9,28.6,0,238,1
8.25,36.3,28.7,1,239,1
11.0025,36.2,29.1,1,240,2
1.17073,24.4,19.7,1,241,1
20.1675,31.9,36.2,1,242,1
0.8275,28.7,36.3,0,243,1
0.817255,23.6,31.9,1,244,2
0.819577,19.7,28.7,1,245,1
0.630498,19.7,28.7,1,245,2
2.75575,51.5,35.1,1,246,2
2.3595,51.5,35,1,246,1
2.42,51.2,35,1,246,2
4.62,28.9,36.2,1,247,1
3.3,25.6,36.2,1,248,1
5.72575,35.4,36.5,1,249,2
1.57915,28,35.4,1,250,2
4.935915,35.2,36.1,1,251,1
0.219005,18.1,21.7,1,252,2
11.9925,28.7,36.2,1,253,2
0.214306,4.6,7.5,1,254,2
0.112537,3.9,6.7,1,255,2
2.2,23.6,39.6,1,256,1
2.53,28.7,36.4,1,257,1
14.323005,28.7,36.2,1,258,2
8.525,25.6,39.4,1,259,2
1.7625,25.5,32.2,1,260,2
0.3325,25.5,39.5,0,261,1
0.941,25.8,39.6,1,262,1
0.77,25.8,32.1,1,263,1
1.65948,18.1,29,1,264,2
3.031,19,29,1,265,1
1.65,18,22,1,266,2
0.4425,21.9,29,1,267,2
2.31504,34.1,35.4,0,268,1
20.061979,31.9,36.6,1,269,2
7.15575,36.3,28.7,1,270,2
8.36575,39.4,32,1,271,2
4.902943,39.4,39.4,1,272,2
5.0625,39.4,39.4,1,272,2
5.0625,39.4,32,1,272,1
5.7775,53.1,57.1,0,273,2
13.2025,35,39.8,1,274,1
3.3025,31.3,31.3,1,275,1
0.070226,10.6,20.5,0,276,2
0.2336,10.6,20.5,0,276,2
0.099,10.6,20.5,0,276,1
0.010413,9.4,9.4,0,277,3
0.198,26.9,21.4,0,278,2
0.462404,28.7,21.5,0,279,3
9.46,42,28.7,1,280,2
8.8,35.5,28.5,1,281,2
5.72,51.6,37.4,1,282,1
0.017768,8.3,19.7,0,283,3
7.7,78.7,78.7,1,284,2
7.48172,39.4,39.4,1,285,2
3.3,51.2,59.1,1,286,1
0.053507,23.1,21.3,1,287,2
7.688483,59.1,78.7,0,288,2
0.119658,14.2,24.8,0,289,3
10.424,36.2,35,1,290,2
4.1515,66.5,48.5,0,291,1
18.7095,35,36.3,1,292,2
9.906,78.7,70.9,0,293,1
20.906,35.4,39.4,1,294,1
22.5525,35.2,36.5,1,295,1
0.029756,8.3,24,0,296,3
11.55,39.5,39.5,1,297,1
10.354815,36.2,35,1,298,2
0.028022,19.5,10,0,299,3
4.4,51.3,77.8,0,300,1
0.9075,47,14.6,1,301,2
0.33,25.6,36.4,1,302,1
0.825,25.5,32,1,303,2
5.9425,28.7,23.5,1,304,2
0.418,28.9,31.5,1,305,2
6.17242,36.2,28.7,1,306,2
6.630157,36.6,29.3,1,307,1
4.0395,36.4,25.6,1,308,1
0.347701,19.9,14.8,1,309,2
0.671,24,20.1,1,310,2
0.3985,24,18.6,1,311,2
2.15073,25.8,36.6,1,312,2
0.825,25.8,36.6,1,312,1
7.4726,39.4,25.6,1,313,2
4.821298,28.7,36.2,1,314,1
0.715,32.1,25.6,1,315,1
0.8825,23.6,39.4,1,316,1
0.579564,21.5,28.9,1,317,1
0.44,24,32.5,1,318,1
1.65575,25.5,31.8,0,319,2
5.9425,36.2,35,1,320,1
2.86,35,36.2,1,321,2
0.440718,18.3,15,1,322,2
0.352,16.1,13.4,1,323,2
0.231,15.9,13,1,324,2
0.7175,22.1,14.9,1,325,1
0.3985,17.8,15,1,326,2
1.7995,23.2,27.5,1,327,1
4.200211,28.7,36.2,1,328,1
0.253,25.6,31.9,0,329,1
1.65,23.2,31.7,1,330,1
0.7175,25.5,36.3,1,331,1
1.76,35.4,36.2,1,332,1
1.29116,35.4,36.2,1,333,2
1.43,25.5,32,1,334,1
1.0475,44.1,34,0,336,1
1.43,40.2,29.5,0,337,2
0.539,31.9,25.6,1,338,2
3.11468,25.8,32.1,1,339,2
0.3105,16.7,23.3,1,340,1
0.516516,18.9,29.1,1,341,2
0.979228,18.9,29.1,1,341,2
6.6,25.5,36.2,1,342,2
2.5,23.6,28.7,1,343,3
0.19857,19.7,24,0,344,2
11.4096,28.3,35.8,1,345,2
1.325564,28.7,36.2,1,346,2
1.7625,19.7,25.6,1,347,1
0.6145,24.4,29.5,1,348,2
1.157517,28.7,21.3,1,349,2
0.399166,22,18.1,0,350,3
0.8475,25.7,39.4,1,351,1
6.90244,19.7,27.6,1,352,1
1.051,23.7,29,1,353,1
0.182636,14.5,11.6,0,354,1
1.3,23.6,32.1,1,355,1
4.51,25.6,31.9,1,356,2
0.6795,29,36.5,1,357,1
0.841866,23.6,28.7,1,358,2
0.206015,28.7,28.7,0,359,3
1.4325,39.5,32,1,360,2
0.792,19.8,14.8,1,361,2
7.539658,23.6,39.4,1,362,1
4.999273,35.4,36.5,1,363,2
2.2025,28.9,37,1,364,2
4.076,23.8,31.3,1,365,1
1.106,17.2,25.9,1,366,1
0.374598,7.1,15.1,1,367,1
0.6625,20.5,25.2,1,368,1
3.7425,25.5,31.5,1,369,2
0.544554,21.3,28.7,1,370,2
4.5125,21.3,28.9,1,371,2
5.5025,55.1,59.1,0,372,1
1.87,24,31.9,1,373,2
3.85,25.6,39.4,1,374,1
5.2825,25.6,39.4,1,375,1
9.3525,25.9,39.6,1,375,2
8.2525,25.6,39.6,1,375,1
3.41,25.6,39.4,1,386,2
1.5425,25.7,32,1,387,1
